id	T7A	T7B	T7C
GO:0000014	0.367933	0.457588	0.158851
GO:0000030	2.75771	4.38419	2.53579
GO:0000034	0.273796	0.127232	0.163663
GO:0000036	71.8587	136.691	43.4545
GO:0000049	722.889	984.375	637.77
GO:0000062	0.0611642	1e-05	0.065864
GO:0000104	0.13577	0.0702438	0.227194
GO:0000107	12.5845	22.2865	9.78513
GO:0000150	78.5557	110.849	2.14012
GO:0000155	124.388	132.911	71.7961
GO:0000156	9.92015	9.1295	3.93995
GO:0000166	300.909	277.657	401.183
GO:0000175	57.6284	71.3135	35.4858
GO:0000179	10.0897	12.831	11.6088
GO:0000213	1e-05	0.514297	0.265668
GO:0000286	0.103745	0.321908	0.111701
GO:0000287	1421.82	1511.25	795.245
GO:0000309	0.227832	0.235748	1e-05
GO:0000703	1e-05	1e-05	0.0757071
GO:0000774	68.8548	55.9641	28.5844
GO:0000906	34.9726	68.698	8.56327
GO:0000908	1e-05	1e-05	0.0692422
GO:0000986	0.668882	1e-05	0.149834
GO:0000987	0.261482	1e-05	0.905059
GO:0001046	0.261482	1e-05	1e-05
GO:0001047	1e-05	1e-05	0.0604685
GO:0001071	1e-05	1e-05	0.175378
GO:0001141	0.096708	1e-05	0.05675
GO:0001671	1e-05	1e-05	0.0933276
GO:0001727	0.300724	1e-05	1e-05
GO:0002161	136.511	160.214	166.763
GO:0002935	8.76191	11.4019	1.7819
GO:0003676	765.785	952.349	426.432
GO:0003677	6810.64	8558.09	3409.82
GO:0003678	15.4146	22.9156	15.5995
GO:0003684	239.93	227.423	99.057
GO:0003688	35.2201	28.7931	14.7935
GO:0003689	0.305686	0.741224	0.283823
GO:0003690	50.944	69.1489	18.1782
GO:0003697	313.188	384.875	247.925
GO:0003700	1412.67	1497.58	644.52
GO:0003723	1872.97	2082.17	1277.74
GO:0003725	22.1506	33.4815	11.6965
GO:0003729	38.3799	68.476	86.582
GO:0003735	10951.1	16703.6	8229.72
GO:0003743	255.318	285.346	205.112
GO:0003746	923.849	1109.04	775.748
GO:0003755	106.437	140.255	28.2401
GO:0003756	1e-05	1e-05	0.0814186
GO:0003774	47.2098	61.3966	16.2424
GO:0003796	1e-05	1e-05	0.145265
GO:0003824	1318.74	1503.87	699.197
GO:0003825	1e-05	0.139181	0.162546
GO:0003839	1.69992	1.46588	1e-05
GO:0003840	1e-05	1e-05	0.0455458
GO:0003841	28.0874	47.2479	5.997
GO:0003842	8.30773	7.17812	8.85997
GO:0003844	3.84514	4.09104	1.36577
GO:0003848	9.93977	13.559	4.28636
GO:0003849	32.7505	33.5688	4.18625
GO:0003852	17.482	21.0982	5.77365
GO:0003855	4.24162	8.26109	1.7619
